key,gender_m,gender,performance,grade_group,ln_total_comp,total_comp,performance_f0,grade_group_f3,gender_w,performance_f1,performance_f2,grade_group_f4,grade_group_f5,sugg_raise,out_perc_gender,raise_on_pay_gap_gender,raise_gender,comp_after_raise_gender,sugg_raise_perf,comp_after_raise_perf,raise_perf_coef,raise_perf_perc
1,0,2,1,5,10.03762356,22870.96679,1,0,1,0,0,0,1,0,0.198909951,0,0,22870.96679,237.5437897,23108.51058,0.010386259,1.04
2,0,2,3,3,9.960268383,21168.47621,0,1,1,0,1,0,0,116.0536224,0.181401109,-0.000209042,116,21284.47621,879.4451247,22047.92133,0.041545037,4.15
3,1,1,2,4,10.00667309,22173.94197,0,0,0,1,0,1,0,0,0.054750785,0,0,22173.94197,460.6086185,22634.55059,0.020772518,2.08
4,1,1,2,3,9.873943338,19417.75898,0,1,0,1,0,0,0,0,0.12205316,0,0,19417.75898,403.3557564,19821.11473,0.020772518,2.08
5,1,1,1,4,10.09727907,24276.86382,1,0,0,0,0,1,0,0,0.261049001,0,0,24276.86382,252.1458007,24529.00962,0.010386259,1.04
6,1,1,1,4,9.762749109,17374.33001,1,0,0,0,0,1,0,0,-0.09749951,0,0,17374.33001,180.4542953,17554.78431,0.010386259,1.04
7,1,1,1,4,9.72886044,16795.40204,1,0,0,0,0,1,0,0,-0.12757162,0,0,16795.40204,174.4413993,16969.84344,0.010386259,1.04
8,0,2,3,5,10.03448221,22799.23376,0,0,1,0,1,0,1,1112.804339,0.057020266,-0.001701056,1113,23912.23376,947.1950074,23746.42877,0.041545037,4.15
9,0,2,3,3,9.66309103,15726.32014,0,1,1,0,1,0,0,767.5835722,-0.122322652,-0.001825427,768,16494.32014,653.3505504,16379.67069,0.041545037,4.15
10,0,2,1,5,9.788712678,17831.33672,1,0,1,0,0,0,1,1218.668237,-0.065270514,-0.003592426,1219,19050.33672,185.2008854,18016.5376,0.010386259,1.04
11,1,1,3,3,9.623652896,15118.17432,0,1,0,0,1,0,0,0,-0.156262939,1.11022E-16,0,15118.17432,628.0851096,15746.25943,0.041545037,4.15
12,0,2,2,3,9.807217556,18164.37535,0,1,1,1,0,0,0,1212.164322,0.049626518,-0.005198054,1212,19376.37535,377.3198219,18541.69517,0.020772518,2.08
13,0,2,3,5,9.956829103,21095.79695,0,0,1,0,1,0,1,1029.66155,-0.021954635,-0.00170131,1030,22125.79695,876.4256621,21972.22261,0.041545037,4.15
14,1,1,1,5,9.736998264,16932.63771,1,0,0,0,0,0,1,0,-0.112380861,0,0,16932.63771,175.8667645,17108.50447,0.010386259,1.04
15,0,2,2,5,9.695404397,16242.79,0,0,1,1,0,0,1,1624.279,-0.220295139,-0.007430027,1624,17866.79,337.4036547,16580.19365,0.020772518,2.08
16,0,2,3,5,9.732183462,16851.30637,0,0,1,0,1,0,1,822.4928538,-0.218738115,-0.001699768,822,17673.30637,700.0881444,17551.39451,0.041545037,4.15
17,0,2,1,4,9.763042168,17379.42246,1,0,1,0,0,1,0,1737.942246,-0.097234985,-0.011289102,1738,19117.42246,180.5071868,17559.92965,0.010386259,1.04
18,1,1,2,4,9.868235939,19307.24975,0,0,0,1,0,1,0,0,-0.081609537,0,0,19307.24975,401.0602014,19708.30995,0.020772518,2.08
19,0,2,2,3,9.901683949,19963.96044,0,1,1,1,0,0,0,349.7537782,0.153615354,-0.001395805,350,20313.96044,414.7017364,20378.66218,0.020772518,2.08
20,0,2,1,5,10.05810254,23344.1696,1,0,1,0,0,0,1,0,0.223715529,0,0,23344.1696,242.4585968,23586.6282,0.010386259,1.04
21,1,1,2,5,10.00520244,22141.35567,0,0,0,1,0,0,1,0,0.062854512,0,0,22141.35567,459.931719,22601.28739,0.020772518,2.08
22,1,1,2,3,9.658278604,15650.82021,0,1,0,1,0,0,0,0,-0.095619001,0,0,15650.82021,325.1069515,15975.92717,0.020772518,2.08
23,0,2,1,3,9.591669434,14642.29349,1,1,1,0,0,0,0,1464.229349,-0.076034269,-0.005429688,1464,16106.29349,152.0786558,14794.37215,0.010386259,1.04
24,1,1,3,4,10.10012453,24346.04108,0,0,0,0,1,1,0,0,0.118481363,0,0,24346.04108,1011.457174,25357.49825,0.041545037,4.15
25,0,2,3,4,9.956963105,21098.62401,0,0,1,0,1,1,0,2109.862401,-0.03070821,-0.009500263,2110,23208.62401,876.5431127,21975.16713,0.041545037,4.15
26,1,1,1,4,9.925790856,20451.07764,1,0,0,0,0,1,0,0,0.062320538,0,0,20451.07764,212.4101937,20663.48783,0.010386259,1.04
27,0,2,2,3,9.499064652,13347.23668,0,1,1,1,0,0,0,1334.723668,-0.228731333,-0.007681689,1335,14682.23668,277.25572,13624.4924,0.020772518,2.08
28,1,1,3,3,10.06006472,23390.02012,0,1,0,0,1,0,0,0,0.305384263,1.11022E-16,0,23390.02012,971.7392485,24361.75937,0.041545037,4.15
29,1,1,1,5,9.787651337,17812.42163,1,0,0,0,0,0,1,0,-0.066262055,0,0,17812.42163,185.0044283,17997.42605,0.010386259,1.04
30,1,1,2,5,10.21768158,27383.10742,0,0,0,1,0,0,1,0,0.314475035,0,0,27383.10742,568.8161038,27951.92352,0.020772518,2.08
