key,gender_m,gender,grade_group,performance,ln_total_comp,total_comp,performance_f0,grade_group_f3,gender_w,performance_f1,performance_f2,grade_group_f4,grade_group_f5,sugg_raise,out_perc_gender,raise_on_pay_gap_gender,raise_gender,comp_after_raise_gender,sugg_raise_perf,comp_after_raise_perf
1,0,2,4,3,10.99174278,59382,0,0,0,0,1,1,0,1551,-0.004722093,-0.001757738,1551,60932,1145.821194,60527.60437
2,1,1,4,2,11.00646645,60263,0,0,0,1,0,1,0,0,0.166963718,0,0,60263,1162.816699,61425.38601
3,0,2,3,2,10.96546753,57842,0,1,0,1,0,0,0,0,0.165351195,0,0,57842,1116.106549,58957.93861
4,1,1,5,2,11.24055656,76157,0,0,0,1,0,0,1,0,0.026888518,0,0,76157,1469.519333,77626.84551
5,1,1,3,2,10.90109211,54236,0,1,0,1,0,0,0,0,0.09269495,0,0,54236,1046.520563,55282.08325
6,1,1,3,2,10.77421688,47773,0,1,0,1,0,0,0,0,-0.037506685,0,0,47773,921.8209036,48694.86728
7,0,2,4,1,11.03399143,61944,1,0,0,0,0,1,0,0,0.18290114,0,0,61944,298.8169426,62243.15168
8,0,2,4,2,10.64613541,42030,0,0,0,1,0,1,0,4203,-0.186106519,-0.009233019,4203,46233,811.0011615,42840.85311
9,0,2,5,1,11.30692765,81383,1,0,0,0,0,0,1,0,0.082143966,0,0,81383,392.5906116,81776.07593
10,1,1,4,3,10.96342277,57724,0,0,0,0,1,1,0,0,-0.032512996,0,0,57724,1113.826707,58837.50676
11,1,1,3,2,10.67352962,43197,0,1,0,1,0,0,0,0,-0.129698356,0,0,43197,833.5250082,44030.66744
12,0,2,5,2,11.14132397,68963,0,0,0,1,0,0,1,3366,-0.070119516,-0.003642408,3366,72329,1330.696882,70293.59805
13,1,1,4,2,10.69627568,44191,0,0,0,1,0,1,0,0,-0.144257276,0,0,44191,852.7016855,45043.66872
14,0,2,4,1,10.60704689,40419,1,0,0,0,0,1,0,2550,-0.228157315,-0.003904859,2550,42969,194.9779772,40613.64025
15,1,1,4,2,11.15225246,69721,0,0,0,1,0,1,0,0,0.350117028,0,0,69721,1345.319141,71066.01373
16,0,2,3,2,10.69525388,44146,0,1,0,1,0,0,0,3773,-0.110584835,-0.006526531,3773,47919,851.8308423,44997.66673
17,0,2,4,3,10.98422818,58937,0,0,0,0,1,1,0,1767,-0.012173178,-0.0020141,1767,60704,1137.243076,60074.4683
18,0,2,4,2,10.99811751,59762,0,0,0,1,0,1,0,0,0.157261368,0,0,59762,1153.148828,60914.68409
19,1,1,4,3,11.0465105,62725,0,0,0,0,1,1,0,0,0.051307304,0,0,62725,1210.325459,63935.01967
20,1,1,4,2,10.69692755,44220,0,0,0,1,0,1,0,0,-0.14369926,0,0,44220,853.2577186,45073.04098
21,0,2,4,2,10.73902782,46121,0,0,0,1,0,1,0,3838,-0.10687914,-0.007737445,3838,49959,889.946992,47011.13903
22,1,1,5,2,11.1812448,71772,0,0,0,1,0,0,1,0,-0.032246999,0,0,71772,1384.893998,73156.54174
23,1,1,4,1,10.94512804,56677,1,0,0,0,0,1,0,0,0.082319718,0,0,56677,273.4087052,56950.65133
24,1,1,3,2,10.9290724,55775,0,1,0,1,0,0,0,0,0.123700626,0,0,55775,1076.216022,56850.73548
25,0,2,3,2,10.74649087,46467,0,1,0,1,0,0,0,2695,-0.063826229,-0.004481988,2695,49162,896.6135538,47363.29783
26,1,1,3,2,10.81678655,49851,0,1,0,1,0,0,0,0,0.004350953,0,0,49851,961.9097494,50812.54656
27,0,2,3,1,10.8240557,50214,1,1,0,0,0,0,0,1250,-0.002346814,-0.001146502,1250,51464,242.231872,50456.56052
28,1,1,4,1,10.85986572,52045,1,0,0,0,0,1,0,0,-0.006136792,0,0,52045,251.0633857,52296.1525
29,1,1,4,2,10.95788126,57405,0,0,0,1,0,1,0,0,0.111621849,0,0,57405,1107.671498,58512.36001
30,1,1,4,1,10.80748035,49389,1,0,0,0,0,1,0,0,-0.056860494,0,0,49389,238.2498877,49627.11876
