key,gender_m,gender,grade_group,performance,ln_total_comp,total_comp,performance_f0,grade_group_f3,gender_w,performance_f1,performance_f2,grade_group_f4,grade_group_f5,sugg_raise,out_perc_gender,raise_on_pay_gap_gender,raise_gender,comp_after_raise_gender,sugg_raise_perf,comp_after_raise_perf
1,0,2,2,great,10.99174278,59382,0,0,0,0,1,1,0,1551,-0.004722093,-0.001757738,1551,60932,8483.111883,67865
2,1,1,2,middle,11.00646645,60263,0,0,0,1,0,1,0,0,0.166963718,0,0,60263,8608.938472,68872
3,0,2,1,middle,10.96546753,57842,0,1,0,1,0,0,0,0,0.165351195,0,0,57842,8263.118867,66105
4,1,1,3,middle,11.24055656,76157,0,0,0,1,0,0,1,0,0.026888518,0,0,76157,10879.61803,87037
5,1,1,1,middle,10.90109211,54236,0,1,0,1,0,0,0,0,0.09269495,0,0,54236,7747.937527,61984
6,1,1,1,middle,10.77421688,47773,0,1,0,1,0,0,0,0,-0.037506685,0,0,47773,6824.720911,54598
7,0,2,2,low,11.03399143,61944,1,0,0,0,0,1,0,0,0.18290114,0,0,61944,2212.297669,64157
8,0,2,2,middle,10.64613541,42030,0,0,0,1,0,1,0,4203,-0.186106519,-0.009233019,4203,46233,6004.264564,48034
9,0,2,3,low,11.30692765,81383,1,0,0,0,0,0,1,0,0.082143966,0,0,81383,2906.553047,84290
10,1,1,2,great,10.96342277,57724,0,0,0,0,1,1,0,0,-0.032512996,0,0,57724,8246.240007,65970
11,1,1,1,middle,10.67352962,43197,0,1,0,1,0,0,0,0,-0.129698356,0,0,43197,6171.020348,49368
12,0,2,3,middle,11.14132397,68963,0,0,0,1,0,0,1,3366,-0.070119516,-0.003642408,3366,72329,9851.843024,78815
13,1,1,2,middle,10.69627568,44191,0,0,0,1,0,1,0,0,-0.144257276,0,0,44191,6312.995291,50504
14,0,2,2,low,10.60704689,40419,1,0,0,0,0,1,0,2550,-0.228157315,-0.003904859,2550,42969,1443.523653,41862
15,1,1,2,middle,11.15225246,69721,0,0,0,1,0,1,0,0,0.350117028,0,0,69721,9960.099228,79681
16,0,2,1,middle,10.69525388,44146,0,1,0,1,0,0,0,3773,-0.110584835,-0.006526531,3773,47919,6306.547985,50452
17,0,2,2,great,10.98422818,58937,0,0,0,0,1,1,0,1767,-0.012173178,-0.0020141,1767,60704,8419.603604,67357
18,0,2,2,middle,10.99811751,59762,0,0,0,1,0,1,0,0,0.157261368,0,0,59762,8537.362181,68299
19,1,1,2,great,11.0465105,62725,0,0,0,0,1,1,0,0,0.051307304,0,0,62725,8960.670602,71685
20,1,1,2,middle,10.69692755,44220,0,0,0,1,0,1,0,0,-0.14369926,0,0,44220,6317.111894,50537
21,0,2,2,middle,10.73902782,46121,0,0,0,1,0,1,0,3838,-0.10687914,-0.007737445,3838,49959,6588.74172,52710
22,1,1,3,middle,11.1812448,71772,0,0,0,1,0,0,1,0,-0.032246999,0,0,71772,10253.09253,82025
23,1,1,2,low,10.94512804,56677,1,0,0,0,0,1,0,0,0.082319718,0,0,56677,2024.187237,58701
24,1,1,1,middle,10.9290724,55775,0,1,0,1,0,0,0,0,0.123700626,0,0,55775,7967.788494,63742
25,0,2,1,middle,10.74649087,46467,0,1,0,1,0,0,0,2695,-0.063826229,-0.004481988,2695,49162,6638.097753,53105
26,1,1,1,middle,10.81678655,49851,0,1,0,1,0,0,0,0,0.004350953,0,0,49851,7121.519544,56972
27,0,2,1,low,10.8240557,50214,1,1,0,0,0,0,0,1250,-0.002346814,-0.001146502,1250,51464,1793.36888,52008
28,1,1,2,low,10.85986572,52045,1,0,0,0,0,1,0,0,-0.006136792,0,0,52045,1858.753183,53904
29,1,1,2,middle,10.95788126,57405,0,0,0,1,0,1,0,0,0.111621849,0,0,57405,8200.669788,65605
30,1,1,2,low,10.80748035,49389,1,0,0,0,0,1,0,0,-0.056860494,0,0,49389,1763.888174,51153
